"Years";"Weeks";"Gross margin 1 - Dema MTA";"Compare range: Gross margin 1 - Dema MTA";"Gross margin 2 - Dema MTA";"Compare range: Gross margin 2 - Dema MTA";"Net gross margin 1 - Dema MTA";"Compare range: Net gross margin 1 - Dema MTA";"Net gross margin 2 - Dema MTA";"Compare range: Net gross margin 2 - Dema MTA"
"2023";"Week 32, 2023";"0.7699492023720798";"0";"0.595887092668324";"0";"0.7741145059524599";"0";"0.5747070293783788";"0"
"2023";"Week 33, 2023";"0.7881308790033703";"0";"0.6254139568116495";"0";"0.7890452704387327";"0";"0.5968425848467855";"0"
"2023";"Week 34, 2023";"0.7934120895279297";"0";"0.6395030678564657";"0";"0.7947047934905933";"0";"0.6204590859231487";"0"
"2023";"Week 35, 2023";"0.7924215584331226";"0";"0.6350575489282358";"0";"0.7964274282429977";"0";"0.6058131895245988";"0"
"2023";"Week 36, 2023";"0.7875533876931746";"0";"0.6278146173038142";"0";"0.792271781301746";"0";"0.6022801057746281";"0"
"2023";"Week 37, 2023";"0.7974308092429365";"0";"0.6332730211942785";"0";"0.7985541752689028";"0";"0.6083970947745908";"0"
"2023";"Week 38, 2023";"0.7863245494714955";"0";"0.6279921116816408";"0";"0.7874198514279108";"0";"0.6023708010009619";"0"
"2023";"Week 39, 2023";"0.7909915770635789";"0";"0.6296585650000049";"0";"0.7928240419570165";"0";"0.6032893448491291";"0"
"2023";"Week 40, 2023";"0.7775408826866306";"0";"0.6276405577073012";"0";"0.7799813168440305";"0";"0.6065739696013536";"0"
"2023";"Week 41, 2023";"0.788023264177044";"0";"0.6458355928838994";"0";"0.7898208129945649";"0";"0.6291932014206869";"0"
"2023";"Week 42, 2023";"0.8006542686807218";"0";"0.6483294087164079";"0";"0.8006407294221588";"0";"0.6276761862349134";"0"
"2023";"Week 43, 2023";"0.7689828511661573";"0";"0.5981111098900211";"0";"0.7693663933082963";"0";"0.5783605359381819";"0"
"2023";"Week 44, 2023";"0.7753643428512336";"0";"0.6023207771673063";"0";"0.7757073218871045";"0";"0.5833404358143778";"0"
"2023";"Week 45, 2023";"0.791204943220169";"0";"0.6305281855608229";"0";"0.7914671559146033";"0";"0.616511781209518";"0"
"2023";"Week 46, 2023";"0.7945457457766076";"0";"0.625473198427082";"0";"0.7942070497659445";"0";"0.609891614411468";"0"
"2023";"Week 47, 2023";"0.7371644168555215";"0";"0.5761412704547828";"0";"0.7384693443683025";"0";"0.557125744383401";"0"
